,agent,avg_reward,std_reward,step,test_id
0,ia2c,-567.6472222222222,511.0820963548872,720,-1
1,ia2c,-601.8533333333334,498.60530587273587,1440,-1
2,ia2c,-491.1352777777778,430.7712368917593,2160,-1
3,ia2c,-565.8558333333333,493.387969434439,2880,-1
4,ia2c,-669.2708333333334,574.1118044755694,3600,-1
5,ia2c,-565.5930555555556,448.2230749261122,4320,-1
6,ia2c,-533.6433333333333,461.55007181116207,5040,-1
7,ia2c,-504.19333333333327,476.9386419423129,5760,-1
8,ia2c,-601.733888888889,526.8681931590238,6480,-1
9,ia2c,-599.7211111111111,538.2111764384032,7200,-1
10,ia2c,-526.1994444444445,542.3684657742908,7920,-1
11,ia2c,-544.6561111111112,510.1561704968271,8640,-1
12,ia2c,-547.0702777777777,527.3866555478274,9360,-1
13,ia2c,-556.5675,497.34783781281624,10080,-1
14,ia2c,-412.4111111111111,429.00562219689294,10800,-1
15,ia2c,-462.54333333333335,456.2362502159502,11520,-1
16,ia2c,-689.8125,507.3287460473458,12240,-1
17,ia2c,-545.1572222222221,500.9762417886985,12960,-1
18,ia2c,-538.8797222222222,504.35562412727364,13680,-1
19,ia2c,-508.5758333333334,459.9330455190372,14400,-1
20,ia2c,-505.12333333333333,506.3308978545772,15120,-1
21,ia2c,-558.9536111111112,523.8395593152799,15840,-1
22,ia2c,-478.8386111111111,462.08055551706553,16560,-1
23,ia2c,-550.4225000000001,580.2221030628176,17280,-1
24,ia2c,-467.4505555555556,496.77298448164674,18000,-1
25,ia2c,-454.23194444444454,496.39084078262954,18720,-1
26,ia2c,-435.7327777777778,475.2188917085772,19440,-1
27,ia2c,-482.78111111111116,487.7219254166239,20160,-1
28,ia2c,-485.5494444444445,514.2518562595161,20880,-1
29,ia2c,-422.8988888888889,490.22422601962796,21600,-1
30,ia2c,-496.9572222222222,517.8106410144924,22320,-1
31,ia2c,-502.7919444444445,526.0152965578908,23040,-1
32,ia2c,-428.4872222222223,464.8666571693861,23760,-1
33,ia2c,-434.9219444444444,439.95492883627327,24480,-1
34,ia2c,-453.02916666666675,446.2931886158035,25200,-1
35,ia2c,-461.34222222222223,484.65449754960673,25920,-1
36,ia2c,-452.1886111111112,484.99043648447787,26640,-1
37,ia2c,-447.7619444444445,512.7135150317565,27360,-1
38,ia2c,-466.55694444444447,524.5539085542614,28080,-1
39,ia2c,-467.4419444444444,482.18859342538633,28800,-1
40,ia2c,-442.48555555555555,499.0982265960861,29520,-1
41,ia2c,-521.77,554.0441154617363,30240,-1
42,ia2c,-473.11999999999995,484.89222495542475,30960,-1
43,ia2c,-434.58194444444445,453.77918168372656,31680,-1
44,ia2c,-542.5861111111111,609.2167253726424,32400,-1
45,ia2c,-437.535,463.85919858113556,33120,-1
46,ia2c,-447.2108333333333,483.21535208822786,33840,-1
47,ia2c,-424.2641666666667,445.6746882154878,34560,-1
