,agent,avg_reward,std_reward,step,test_id
47,ma2c,-504.0402777777779,485.6741390296019,34560,-1
48,ma2c,-487.9505555555555,540.5477662105792,35280,-1
49,ma2c,-439.24388888888893,464.2851081278841,36000,-1
50,ma2c,-497.15416666666675,491.48597703447024,36720,-1
51,ma2c,-400.63194444444446,439.67523207678494,37440,-1
52,ma2c,-530.1786111111112,516.6873266173266,38160,-1
53,ma2c,-506.15333333333336,541.3041932222584,38880,-1
54,ma2c,-391.32000000000005,420.043807292102,39600,-1
55,ma2c,-508.04083333333335,493.73938936489225,40320,-1
56,ma2c,-486.08111111111117,517.9441435767299,41040,-1
57,ma2c,-443.0105555555556,446.12196775187215,41760,-1
58,ma2c,-546.0461111111113,549.8449478276065,42480,-1
59,ma2c,-394.15555555555557,387.803948782575,43200,-1
60,ma2c,-380.6072222222222,399.80776749312855,43920,-1
61,ma2c,-388.89722222222224,429.33179980711566,44640,-1
62,ma2c,-398.8744444444445,438.98119045026954,45360,-1
63,ma2c,-470.41527777777776,497.8109181874073,46080,-1
64,ma2c,-365.7941666666666,404.0497931627501,46800,-1
65,ma2c,-562.7019444444445,557.6897650093815,47520,-1
66,ma2c,-430.32055555555553,454.86144290776707,48240,-1
67,ma2c,-532.2525,588.0747359622612,48960,-1
68,ma2c,-544.5533333333334,597.3167201372783,49680,-1
69,ma2c,-340.2436111111111,381.61792882157806,50400,-1
70,ma2c,-423.0325,482.64798110628436,51120,-1
71,ma2c,-430.76027777777773,454.2312128199942,51840,-1
72,ma2c,-495.8647222222222,516.2051464291332,52560,-1
73,ma2c,-552.3894444444445,566.7051407524438,53280,-1
74,ma2c,-449.9108333333334,485.9650580653065,54000,-1
75,ma2c,-381.25361111111107,493.5525920003797,54720,-1
76,ma2c,-596.8355555555555,634.0875775143562,55440,-1
77,ma2c,-541.2308333333334,522.4345048737104,56160,-1
78,ma2c,-498.5344444444445,572.4194667590293,56880,-1
79,ma2c,-490.54416666666674,518.6129156428017,57600,-1
80,ma2c,-457.35333333333335,510.2264534716151,58320,-1
81,ma2c,-475.03833333333347,510.99820099433276,59040,-1
82,ma2c,-403.825,472.82249551379095,59760,-1
83,ma2c,-403.8494444444445,432.1834859816452,60480,-1
84,ma2c,-425.9466666666667,491.86070232220106,61200,-1
85,ma2c,-454.2925000000001,474.8840182956665,61920,-1
86,ma2c,-293.9194444444445,342.52447983842006,62640,-1
87,ma2c,-353.3622222222222,409.95338436292644,63360,-1
88,ma2c,-359.41583333333335,418.1991500926257,64080,-1
89,ma2c,-441.11583333333334,472.54310664551497,64800,-1
90,ma2c,-427.7358333333334,439.6140288737825,65520,-1
91,ma2c,-435.06250000000006,479.47863031326364,66240,-1
92,ma2c,-511.52000000000004,522.865597389361,66960,-1
93,ma2c,-470.74777777777774,480.9958997810406,67680,-1
94,ma2c,-434.59555555555556,477.1484229627113,68400,-1
95,ma2c,-443.11555555555555,467.36057443456065,69120,-1
96,ma2c,-457.1355555555556,504.92144423356945,69840,-1
97,ma2c,-507.08305555555563,506.1619519499413,70560,-1
98,ma2c,-465.8572222222222,467.3842029530542,71280,-1
99,ma2c,-490.80444444444447,503.84939370391476,72000,-1
100,ma2c,-445.28111111111104,476.0118090025463,72720,-1
101,ma2c,-494.42277777777775,531.4460607448068,73440,-1
102,ma2c,-530.9224999999999,544.365494502417,74160,-1
103,ma2c,-457.4233333333333,473.74194570696636,74880,-1
104,ma2c,-582.9744444444445,613.7044367447957,75600,-1
105,ma2c,-433.58111111111117,445.09914049055647,76320,-1
106,ma2c,-376.2477777777778,406.7407396276398,77040,-1
107,ma2c,-399.5688888888889,417.9359935429891,77760,-1
108,ma2c,-458.3602777777778,485.28466391722725,78480,-1
109,ma2c,-402.6197222222223,393.7221240925163,79200,-1
110,ma2c,-414.4772222222223,447.0139988275977,79920,-1
111,ma2c,-322.40305555555557,358.3365290424898,80640,-1
112,ma2c,-467.6255555555556,516.287615807122,81360,-1
113,ma2c,-502.58833333333337,569.1675792842855,82080,-1
114,ma2c,-443.68972222222226,498.3495327410834,82800,-1
115,ma2c,-310.3541666666667,385.5801397596657,83520,-1
116,ma2c,-455.16972222222233,484.54756437197346,84240,-1
117,ma2c,-445.46055555555563,474.0286307571191,84960,-1
118,ma2c,-429.93055555555554,455.07524903973876,85680,-1
119,ma2c,-469.21583333333336,510.3900915796063,86400,-1
120,ma2c,-485.84555555555556,524.8853004146315,87120,-1
121,ma2c,-544.5033333333333,582.4051785388665,87840,-1
122,ma2c,-505.3011111111112,564.9252820790541,88560,-1
123,ma2c,-402.95500000000004,451.7212027069352,89280,-1
124,ma2c,-510.8336111111111,551.4019115282064,90000,-1
125,ma2c,-517.7686111111111,563.6742346853109,90720,-1
126,ma2c,-452.95638888888885,496.74941350774964,91440,-1
127,ma2c,-416.8263888888889,503.85369759624103,92160,-1
128,ma2c,-456.2127777777778,474.99677771194246,92880,-1
129,ma2c,-637.7397222222223,627.9749939111434,93600,-1
130,ma2c,-478.02250000000004,475.3832407114344,94320,-1
131,ma2c,-445.09194444444455,468.1161683238672,95040,-1
132,ma2c,-472.2319444444444,518.5812778164815,95760,-1
133,ma2c,-439.7775,472.82249593311093,96480,-1
134,ma2c,-429.80472222222227,460.261208361236,97200,-1
135,ma2c,-490.1125,558.0022712611831,97920,-1
136,ma2c,-402.2391666666666,426.00796532638657,98640,-1
137,ma2c,-341.09000000000003,411.5770164325938,99360,-1
138,ma2c,-448.8194444444445,496.59910621000944,100080,-1
