,agent,avg_reward,std_reward,step,test_id
0,ma2c,-598.6536111111112,552.1980485732189,720,-1
1,ma2c,-700.8086111111112,529.8748479942788,1440,-1
2,ma2c,-555.9625000000001,432.96440947441374,2160,-1
3,ma2c,-588.4730555555556,527.6950149750825,2880,-1
4,ma2c,-530.0502777777779,437.4074671350255,3600,-1
5,ma2c,-504.52944444444455,430.83380221731056,4320,-1
6,ma2c,-585.5708333333333,493.452861178108,5040,-1
7,ma2c,-653.9652777777777,542.7257047788511,5760,-1
8,ma2c,-577.2697222222222,496.00191943505234,6480,-1
9,ma2c,-583.2800000000001,467.059330801654,7200,-1
10,ma2c,-548.2636111111112,532.3598227684646,7920,-1
11,ma2c,-486.3538888888889,447.69021492593754,8640,-1
12,ma2c,-536.7155555555556,458.2095323493418,9360,-1
13,ma2c,-571.7141666666668,558.1713976303685,10080,-1
14,ma2c,-667.1308333333333,604.4912306545021,10800,-1
15,ma2c,-520.9,465.97494567841306,11520,-1
16,ma2c,-583.5494444444444,544.3298761879624,12240,-1
17,ma2c,-536.0108333333334,502.08928825721716,12960,-1
18,ma2c,-476.7352777777778,505.2313242245582,13680,-1
19,ma2c,-481.55583333333345,452.25804310073426,14400,-1
20,ma2c,-588.3036111111112,573.6782018869927,15120,-1
21,ma2c,-504.05388888888893,486.1789879439566,15840,-1
22,ma2c,-510.1388888888889,513.6411502843519,16560,-1
23,ma2c,-517.6222222222223,472.423726536953,17280,-1
24,ma2c,-434.96055555555563,432.5306455420525,18000,-1
25,ma2c,-540.0516666666667,535.872056763034,18720,-1
26,ma2c,-406.2391666666667,423.35105273857664,19440,-1
27,ma2c,-520.7719444444446,531.1642034683994,20160,-1
28,ma2c,-492.69527777777785,460.06835455896066,20880,-1
29,ma2c,-525.0452777777778,488.2115369215031,21600,-1
30,ma2c,-506.9244444444444,502.0479788517586,22320,-1
31,ma2c,-515.1525,475.06779880978274,23040,-1
32,ma2c,-478.2011111111111,456.0986165280108,23760,-1
33,ma2c,-534.6588888888889,525.6945240757316,24480,-1
34,ma2c,-580.7147222222222,517.2251896256178,25200,-1
35,ma2c,-472.8041666666667,466.6528030492799,25920,-1
36,ma2c,-505.26944444444445,454.4093592049186,26640,-1
37,ma2c,-441.99361111111114,423.3956105284249,27360,-1
38,ma2c,-526.1627777777778,488.43957303170583,28080,-1
39,ma2c,-545.3566666666667,472.41663075204195,28800,-1
40,ma2c,-544.9041666666667,522.7459131934144,29520,-1
41,ma2c,-497.9383333333334,510.0993951917607,30240,-1
42,ma2c,-510.9766666666667,468.32298779795127,30960,-1
43,ma2c,-455.65638888888896,483.69654788038787,31680,-1
44,ma2c,-561.7836111111111,611.3668007090197,32400,-1
45,ma2c,-563.2291666666666,604.3568754233941,33120,-1
46,ma2c,-575.475,530.3132720252352,33840,-1
